brand_id,brand_name,country_of_origin,founded_year,website,is_premium
1,TechPro,China,1957,https://www.techpro.com,false
2,StyleMax,Brasil,1951,https://www.stylemax.com,false
3,HomeLife,USA,1987,https://www.homelife.com,false
4,SportElite,Argentina,1993,https://www.sportelite.com,false
5,BookWorld,USA,2001,https://www.bookworld.com,true
6,FunTime,China,2015,https://www.funtime.com,false
7,BeautyGlow,Argentina,2009,https://www.beautyglow.com,false
8,FreshFood,USA,1956,https://www.freshfood.com,true
9,GardenPro,USA,1951,https://www.gardenpro.com,false
10,AutoParts,Alemania,1970,https://www.autoparts.com,true
11,GlobalTech,Japón,1984,https://www.globaltech.com,true
12,PremiumStyle,Argentina,2003,https://www.premiumstyle.com,false
13,QualityHome,China,1954,https://www.qualityhome.com,false
14,ActiveLife,Brasil,2003,https://www.activelife.com,false
15,SmartChoice,Argentina,1966,https://www.smartchoice.com,true
