inventory_id,product_id,warehouse_id,quantity,min_stock_level,max_stock_level,last_restock_date
1,1,3,282,11,566,2024-08-07
2,1,5,450,23,545,2025-12-09
3,2,2,133,25,411,2026-04-05
4,3,3,35,38,541,2025-03-12
5,3,3,8,11,852,2026-04-20
6,3,5,13,25,771,2026-02-17
7,4,1,155,26,567,2025-03-27
8,4,5,199,31,335,2024-03-15
9,5,2,483,48,256,2024-07-30
10,6,2,390,29,555,2025-04-16
11,6,5,390,21,868,2024-09-24
12,7,5,282,31,781,2024-02-06
13,7,2,127,37,643,2025-02-14
14,7,4,237,31,447,2024-01-13
15,8,2,5,47,564,2024-05-22
16,9,4,136,38,791,2024-10-31
17,9,5,194,16,564,2024-05-22
18,9,2,35,22,266,2025-06-10
19,10,5,426,22,215,2024-06-06
20,11,3,192,17,787,2024-11-01
21,11,5,143,11,905,2024-04-12
22,12,3,437,20,297,2024-06-16
23,12,2,460,13,492,2026-04-29
24,12,2,19,45,579,2025-10-26
25,13,2,170,23,907,2024-04-04
26,13,5,147,28,816,2026-02-07
27,13,5,259,17,343,2025-08-25
28,14,3,259,31,842,2024-02-01
29,14,2,58,27,330,2025-11-26
30,15,3,383,46,559,2025-02-17
31,15,4,498,47,589,2025-03-28
32,16,5,327,37,904,2024-04-24
33,17,5,497,16,575,2025-04-05
34,17,1,469,22,575,2025-06-08
35,18,3,52,21,996,2024-10-14
36,18,2,447,12,866,2024-06-23
37,19,5,121,50,284,2025-08-01
38,19,5,15,33,246,2024-01-01
39,19,3,133,18,923,2024-04-26
40,20,4,67,21,439,2024-02-04
