order_item_id,order_id,product_id,quantity,unit_price,subtotal
1,1,18,1,262.21,262.21
2,1,14,2,340.61,681.22
3,1,18,2,262.21,524.42
4,1,15,1,177.82,177.82
5,2,20,5,492.47,2462.35
6,2,13,4,419.86,1679.44
7,3,6,2,23.74,47.48
8,4,3,1,413.58,413.58
9,4,11,4,62.03,248.12
10,4,12,1,187.64,187.64
11,4,16,2,459.18,918.36
12,5,8,3,83.62,250.86
13,5,19,5,445.9,2229.5
14,5,9,3,284.21,852.63
15,5,18,5,262.21,1311.05
16,6,1,5,61.05,305.25
17,6,3,4,413.58,1654.32
18,6,5,4,359.81,1439.24
19,6,11,4,62.03,248.12
20,7,1,4,61.05,244.2
21,8,12,1,187.64,187.64
22,8,10,1,369.17,369.17
23,8,9,2,284.21,568.42
24,8,5,3,359.81,1079.43
25,8,20,2,492.47,984.94
26,9,1,4,61.05,244.2
27,9,6,1,23.74,23.74
28,10,2,4,136.53,546.12
29,10,7,2,358.87,717.74
30,11,15,2,177.82,355.64
31,11,4,1,381.76,381.76
32,11,13,4,419.86,1679.44
33,12,5,4,359.81,1439.24
34,12,9,2,284.21,568.42
35,12,5,4,359.81,1439.24
36,12,17,2,235.52,471.04
37,13,17,2,235.52,471.04
38,13,12,2,187.64,375.28
39,13,11,1,62.03,62.03
40,13,8,2,83.62,167.24
41,13,19,4,445.9,1783.6
42,14,10,2,369.17,738.34
43,14,3,2,413.58,827.16
44,14,18,2,262.21,524.42
45,14,16,5,459.18,2295.9
46,15,18,1,262.21,262.21
47,16,18,2,262.21,524.42
48,16,4,2,381.76,763.52
49,16,15,2,177.82,355.64
50,16,9,1,284.21,284.21
51,16,9,5,284.21,1421.05
52,17,11,2,62.03,124.06
53,17,13,5,419.86,2099.3
54,17,8,3,83.62,250.86
55,18,10,2,369.17,738.34
56,18,13,1,419.86,419.86
57,18,4,3,381.76,1145.28
58,19,12,1,187.64,187.64
59,19,6,2,23.74,47.48
60,19,7,2,358.87,717.74
61,19,6,3,23.74,71.22
62,20,19,2,445.9,891.8
63,20,11,5,62.03,310.15
64,20,6,4,23.74,94.96
65,20,18,3,262.21,786.63
66,21,8,2,83.62,167.24
67,21,7,5,358.87,1794.35
68,21,11,1,62.03,62.03
69,21,6,4,23.74,94.96
70,21,15,2,177.82,355.64
71,22,14,5,340.61,1703.05
72,23,20,4,492.47,1969.88
73,23,2,4,136.53,546.12
74,23,4,2,381.76,763.52
75,23,8,4,83.62,334.48
76,24,14,4,340.61,1362.44
77,24,16,3,459.18,1377.54
78,24,19,4,445.9,1783.6
79,25,20,1,492.47,492.47
80,25,16,2,459.18,918.36
81,25,3,2,413.58,827.16
82,25,3,4,413.58,1654.32
83,26,7,2,358.87,717.74
84,26,16,2,459.18,918.36
85,26,1,2,61.05,122.1
86,26,1,5,61.05,305.25
87,27,2,5,136.53,682.65
88,27,1,2,61.05,122.1
89,27,15,2,177.82,355.64
90,27,6,3,23.74,71.22
91,27,12,5,187.64,938.2
92,28,20,2,492.47,984.94
93,28,2,1,136.53,136.53
94,29,3,5,413.58,2067.9
95,29,19,1,445.9,445.9
96,30,5,2,359.81,719.62
