order_month,total_amount
2023-01,20077.03
2023-02,4235.27
2023-03,4909.0
2023-04,6473.719999999999
2023-05,488.49
2023-07,2513.52
2023-08,4539.73
2023-09,1176.35
2023-10,14869.869999999999
2023-12,2201.02
2024-01,7940.929999999999
2024-02,11405.45
2024-03,14340.619999999999
2024-04,5563.82
2024-05,1229.97
2024-06,8711.61
2024-07,10283.43
2024-08,9987.09
2024-09,1337.47
2024-10,10395.23
2024-11,7275.42
2024-12,7278.8
2025-01,20187.989999999998
2025-02,5089.8
2025-03,23338.940000000002
2025-04,1657.28
2025-05,3165.57
2025-06,5490.700000000001
2025-07,11542.48
2025-09,15496.06
2025-10,7653.77
2025-12,10466.89
2026-01,4517.620000000001
2026-02,5562.97
2026-03,11570.45
2026-04,1780.82
2026-05,4416.3
